01.01.001,"RETIRANDO A VEGETACAO, TRONCOS ATE 5CM DE DIAMETRO E RASPAGEM.",3.5,M2
01.01.010,"CORTE, RECORTE E REMOCAO DE ARVORES INCL RAIZES DIAM>5<15CM",189.43,UN
01.01.011,"CORTE, RECORTE E REMOCAO DE ARVORES INCL RAIZES DIAM>15<30CM",283.6,UN
01.01.014,"CORTE, RECORTE E REMOÇAO DE ARVORES INCL. RAIZES DIAM>30<45CM",302.41,UN
01.01.015,"CORTE, RECORTE E REMOÇAO DE ARVORES INCL. RAIZES DIAM>45<60CM",902.54,UN
01.01.016,"CORTE, RECORTE E REMOÇAO DE ARVORES INCL. RAIZES DIAM>60<100CM",1028.69,UN
01.01.017,"CORTE, RECORTE E REMOÇAO DE ARVORES INCL. RAIZES DIAM>100CM",1777.19,UN
01.01.099,LIMPEZAS DO TERRENO,424.41,MV
01.02.001,CORTE E ATERRO DENTRO DA OBRA COM TRANSPORTE INTERNO,43.79,M3
01.02.002,CORTE COM RETIRADA POR CAMINHAO NOS PRIMEIROS 100 M,26.44,M3
01.02.003,ATERRO COM TRANSPORTE POR CAMINHAO NOS PRIMEIROS 100 M,26.44,M3
01.02.004,TRANSPORTE POR CAMINHAO M3X,0.88,KM
01.02.099,MOVIMENTOS DE TERRA MANUAL,424.41,MV
01.03.001,CORTE E ATERRO DENTRO DA OBRA COM TRANSPORTE INTERNO,7.66,M3
01.03.002,CORTE COM RETIRADA POR CAMINHAO NOS PRIMEIROS 100 M,12.77,M3
01.03.004,ATERRO COM TRANSPORTE POR CAMINHAO NOS PRIMEIROS 100 M,14.44,M3
01.03.005,TRANSPORTE POR CAMINHAO M3X,1.38,KM
01.03.099,MOVIMENTOS DE TERRA MECANIZADOS,424.41,MV
01.04.006,ESCORAMENTO PONTALETADO,51.95,M2
01.04.010,"ESCORAMENTO DE VALAS CONTINUO ATE 2,00M",75.63,M2
01.04.015,"ESCORAMENTO DE VALAS DESCONTINUO ATE 2,00M",52.58,M2
01.04.099,ESCORAMENTOS DE TERRA,424.41,MV
01.05.001,ESCAVACAO MANUAL - PROFUNDIDADE ATE 1.80 M,40.29,M3
01.05.002,ESCAVACAO MANUAL - PROFUNDIDADE ALEM DE 1.80 M,52.55,M3
01.05.099,ESCAVACOES MANUAIS EM TERRA,424.41,MV
01.06.001,APILOAMENTO PARA SIMPLES REGULARIZACAO,7.0,M2
01.06.005,REATERRO INTERNO APILOADO,61.31,M3
01.06.099,APILOAMENTO E ATERRO DE CAVAS,424.41,MV
01.07.002,LASTRO DE PEDRA BRITADA - 5CM,7.55,M2
01.07.010,LASTRO DE CONCRETO - 5 CM,32.9,M2
01.07.099,LASTROS,424.41,MV
01.08.014,TUBO PVC OCRE JUNTA ELÁSTICA DN 100 INCLUSIVE CONEXÕES - ENTERRADO,60.95,M
