73887/001,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A -  DN 75 MM - INCLUSIVE TRANSPORTE,3.79,M
73887/002,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 100 - INCLUSIVE TRANSPORTE,4.49,M
73887/003,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 150 - INCLUSIVE TRANSPORTE,7.23,M
73887/004,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 200 - INCLUSIVE TRANSPORTE,9.26,M
73887/005,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 250 MM - INCLUSIVE TRANSPORTE,11.12,M
73887/006,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 300 - INCLUSIVE TRANSPORTE,12.48,M
73887/007,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 350 MM - INCLUSIVE TRANSPORTE,14.41,M
73887/008,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 400 MM - INCLUSIVE TRANSPORTE,15.92,M
73887/009,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 450 MM - INCLUSIVE TRANSPORTE,18.38,M
73887/010,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 500 MM - INCLUSIVE TRANSPORTE,20.08,M
73887/011,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 600 MM - INCLUSIVE TRANSPORTE,24.01,M
73887/012,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 700 MM - INCLUSIVE TRANSPORTE,30.78,M
73887/013,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 800 MM - INCLUSIVE TRANSPORTES,35.07,M
73887/014,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 900 MM - INCLUSIVE TRANSPORTE,40.33,M
73887/015,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 1000 MM - INCLUSIVE TRANSPORTE,43,M
73887/016,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 1100 MM - INCLUSIVE TRANSPORTE,51.24,M
73887/017,ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 1200 MM - INCLUSIVE TRANSPORTE,60.3,M
83655,"ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO), COM JUNTA ELAST ICA, DN 50 MM.",3.92,M
73888/001,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 50 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",1.98,M
73888/002,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 75 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",2.64,M
73888/003,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 100 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",3.3,M
73888/009,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 400 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",9.24,M
73888/010,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 500 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",10.14,M
73888/011,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 600 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",11.23,M
73888/012,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 700 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",12.17,M
73888/013,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 800 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",13.22,M
73888/014,"ASSENTAMENTO TUBO PVC COM JUNTA ELASTICA, DN 900 MM - (OU RPVC, OU PVC DEFOFO, OU PRFV) - PARA AGUA.",14.21,M
